PERIODO,MES,AGENCIA,SERVICIO HOSPEDAJE,VENTAS HOSPEDAJE EN MILES DE PESOS,SERVICIOS AEREOS,VENTAS AEREOS EN MILES DE PESOS,SERVICIOS TERRESTRE,VENTAS TERRESTRE EN MILES DE PESOS,SERVICIOS EXCURSIONES,VENTAS EXCURSIONES EN MILES DE PESOS,SERVICIOS PAQUETES PROPIOS,VENTAS PAQUETES PROPIOS EN MILES DE PESOS,SERVICIOS PAQUETES NO PROPIOS,VENTAS PAQUETES NO PROPIOS EN MILES DE PESOS,SERVICIOS TURISMO DE NEGOCIOS,VENTAS TURISMO DE NEGOCIOS EN MILES DE PESOS,SERVICIOS BALNEARIO Y O PARQUES RECREATIVOS,VENTAS BALNEARIO Y O PARQUES RECREATIVOS EN MILES DE PESOS
2014,JULIO DICIEMBRE,DURANGO DURANGO,22,231.19,1008,4556.22,3565,4385.22,0,0,0,0,70,347.22,0,0,0,0
2014,JULIO DICIEMBRE,CELAYA GUANAJUATO,9,24.3,2,169.96,20006,11294.41,0,0,0,0,75,861.2,0,0,0,0
2014,JULIO DICIEMBRE,ACAPULCO GUERRERO,44,29.35,0,129.24,27679,10505.01,0,0,0,0,4,33.04,0,0,0,0
2014,JULIO DICIEMBRE,PACHUCA HIDALGO,10,43.38,48,268.35,0,0,0,0,0,0,119,662.04,0,0,0,0
2014,JULIO DICIEMBRE,GUADALAJARA JALISCO,0,0,183,1032.91,4255,7830.14,0,0,0,0,26,1185.93,0,0,0,0
2014,JULIO DICIEMBRE,TOLUCA ESTADO MEXICO,52,130.16,73,569.39,0,0,0,0,0,0,167,2345.39,0,0,0,0
2014,JULIO DICIEMBRE,MORELIA MICHOACAN,50,341.67,18,668.8,2163,56123.71,0,0,0,0,7,83.38,0,0,0,0
2014,JULIO DICIEMBRE,CUERNAVACA MORELOS,243,417.65,18,342.01,40,557.12,0,0,0,0,79,634.11,0,0,0,0
2014,JULIO DICIEMBRE,TEPIC NAYARIT,0,0,564,2801.84,493,4345.28,0,0,0,0,61,437.52,0,0,0,0
2014,JULIO DICIEMBRE,MONTERREY NUEVO LEON,7,35.01,322,1556.35,158,5450.65,0,0,0,0,8,66.24,0,0,0,0
2014,JULIO DICIEMBRE,OAXACA OAXACA,14,25.27,109,4196.18,288,3887.78,0,0,0,0,14,0.96,0,0,0,0
2014,JULIO DICIEMBRE,PUEBLA PUEBLA,27,45.91,38,473.28,38,230.79,0,0,0,0,106,972.72,0,0,0,0
2014,JULIO DICIEMBRE,QUERETARO QUERETARO,28,154.09,58,451.9,3468,2681.63,0,0,0,0,77,257.87,0,0,0,0
2014,JULIO DICIEMBRE,CHETUMAL QUINTANA ROO,6,4.64,493,6192.79,23035,7688.03,0,0,0,0,106,204.93,0,0,0,0
2014,JULIO DICIEMBRE,SAN LUS POTOSI SAN LUIS POTOSI,64,128.39,78,1107.82,249,1890.13,0,0,0,0,1,0.1,0,0,0,0
2014,JULIO DICIEMBRE,CULIACAN SINALOA,4,12.71,204,13100.08,212,1219.11,0,0,0,0,53,162.49,0,0,0,0
2014,JULIO DICIEMBRE,HERMOSILLO SONORA,42,57.6,160,9098.52,504,5621.17,0,0,0,0,22,84.19,0,0,0,0
2014,JULIO DICIEMBRE,VILLAHERMOSA TABASCO,6,15.81,24,2521.48,49,3918.94,0,0,0,0,39,147.44,0,0,0,0
2014,JULIO DICIEMBRE,TAMPICO TAMAULIPAS,2,0.16,615,3274.24,11,86.1,0,0,0,0,50,325.08,0,0,0,0
2014,JULIO DICIEMBRE,TLAXCALA TLAXCALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,JULIO DICIEMBRE,JALAPA VERACRUZ,0,0,144,599.93,0,0,0,0,0,0,28,32.32,0,0,0,0
2014,JULIO DICIEMBRE,MERIDA YUCATAN,0,0,32,6267.78,0,0,0,0,0,0,10,16.15,0,0,0,0
2014,JULIO DICIEMBRE,ZACATECAS ZACATECAS,16,53.99,498,2498.26,181,752.27,0,0,0,0,214,1567.54,0,0,0,0
2015,ENERO JUNIO,REFORMA,1626,3633.36,4985,112646.72,437,101144.72,57,523.05,0,0,1596,18519.2,460,1041670.26,155,46.1
2015,ENERO JUNIO,ASOCIACION AUTONOMA DEL PERSONAL ACADEMICO DE LA UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,105,216.58,11,284.75,11,0.13,0,0,0,0,61,922.36,0,0,21,6.01
2015,ENERO JUNIO,SAN FERNANDO,146,347.73,710,18337.94,20,0.21,0,0,0,0,60,444.17,0,0,0,0
2015,ENERO JUNIO,CONSEJO DE LA  JUDICATURA,40,73.19,65,1136.86,0,0,0,0,0,0,14,94.51,0,0,34,9.93
2015,ENERO JUNIO,AGUASCALIENTES AGUASCALIENTES,47,296.13,121,1772.1,951,2247.99,0,0,0,0,520,5926.52,0,0,0,0
2015,ENERO JUNIO,MEXICALI BAJA CALIFORNIA,0,0,1171,7230.59,2531,1333.38,0,0,0,0,29,161.19,0,0,0,0
2015,ENERO JUNIO,LA PAZ BAJA CALIFORMIA SUR,0,0,122,12336.96,8756,9064.06,0,0,0,0,8,26.81,0,0,0,0
2015,ENERO JUNIO,CAMPECHE CAMPECHE,6,4.41,41,2559.95,23,147.52,0,0,0,0,24,103.73,0,0,0,0
2015,ENERO JUNIO,SALTILLO COAHUILA,48,197.54,1792,6082.07,4762,7962.63,0,0,0,0,6,64.82,0,0,0,0
2015,ENERO JUNIO,COLIMA COLIMA,79,398.06,63,2335.08,911,1926.61,0,0,0,0,66,238.69,0,0,0,0
2015,ENERO JUNIO,TUXTLA GUTIERREZ CHIAPAS,407,1528.23,2187,9880.67,2755,6908.47,0,0,0,0,5,11.85,0,0,0,0
2015,ENERO JUNIO,CHIHUAHUA CHIHUAHUA,22,39.74,40,5904.38,475,2467.78,0,0,0,0,1,3.98,0,0,0,0
2015,ENERO JUNIO,DURANGO DURANGO,7,41.46,911,4154.3,3296,4669.77,0,0,0,0,42,501.85,0,0,0,0
2015,ENERO JUNIO,CELAYA GUANAJUATO,14,83.7,9,97.35,12495,12863.19,0,0,0,0,143,1461.8,0,0,0,0
2015,ENERO JUNIO,ACAPULCO GUERRERO,101,108.07,1,54.2,22687,8876.04,0,0,0,0,3,36.79,0,0,0,0
